Country Name,Country Code,,Pop,Electricity  
Arab World,ARB,"Population, total",427870270,89.51228245
Caribbean small states,CSS,"Population, total",7401383,98.28051077
Central Europe and the Baltics,CEB,"Population, total",102393110,100
Early-demographic dividend,EAR,"Population, total",3290291010,92.54255248
East Asia & Pacific,EAS,"Population, total",2340692030,98.12822436
East Asia & Pacific (excluding high income),EAP,"Population, total",2093675040,97.92847306
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",2067984156,98.53113831
Euro area,EMU,"Population, total",342671033,100
Europe & Central Asia,ECS,"Population, total",921192974,99.99332907
Europe & Central Asia (excluding high income),ECA,"Population, total",399389236,99.98461347
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",460786185,99.98666363
European Union,EUU,"Population, total",447580063,100
Fragile and conflict affected situations,FCS,"Population, total",798133217,54.39998438
Heavily indebted poor countries (HIPC),HPC,"Population, total",801708035,44.62496425
High income,HIC,"Population, total",1235991090,99.98512498
IBRD only,IBD,"Population, total",4816229000,98.50206333
IDA & IBRD total,IBT,"Population, total",6486921530,88.50725891
IDA blend,IDB,"Population, total",561571902,66.8390682
IDA only,IDX,"Population, total",1109120628,56.07704445
IDA total,IDA,"Population, total",1670692530,59.69449651
Late-demographic dividend,LTE,"Population, total",2298506687,99.37013919
Latin America & Caribbean,LCN,"Population, total",646430784,98.42429498
Latin America & Caribbean (excluding high income),LAC,"Population, total",613773119,98.36983777
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",630644772,98.38844691
Least developed countries: UN classification,LDC,"Population, total",1033388876,52.77482848
Low & middle income,LMY,"Population, total",6437665782,88.21982952
Low income,LIC,"Population, total",668454965,41.81697679
Lower middle income,LMC,"Population, total",2913369053,87.95553765
Middle East & North Africa,MEA,"Population, total",456709513,97.23253964
Middle East & North Africa (excluding high income),MNA,"Population, total",389457086,96.75464764
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",384771780,96.71512949
Middle income,MIC,"Population, total",5769210817,93.59639066
North America,NAC,"Population, total",365896934,100
Not classified,INX,"Population, total",,
OECD members,OED,"Population, total",1360092863,99.99134937
Other small states,OSS,"Population, total",31361265,78.2432976
Pacific island small states,PSS,"Population, total",2493696,86.75539152
Post-demographic dividend,PST,"Population, total",1113006461,99.99796345
Pre-demographic dividend,PRE,"Population, total",944902749,47.2310592
Small states,SST,"Population, total",41256344,82.35247566
South Asia,SAS,"Population, total",1835776742,94.39872917
South Asia (IDA & IBRD),TSA,"Population, total",1835776742,94.39872917
Sub-Saharan Africa,SSF,"Population, total",1106957895,46.74968552
Sub-Saharan Africa (excluding high income),SSA,"Population, total",1105594559,46.68402124
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",1106957895,46.74968552
Upper middle income,UMC,"Population, total",2855841764,99.35098291
Afghanistan,AFG,"Population, total",38041754,97.7
Albania,ALB,"Population, total",2854191,100
Algeria,DZA,"Population, total",43053054,99.5
American Samoa,ASM,"Population, total",55312,
Andorra,AND,"Population, total",77142,100
Angola,AGO,"Population, total",31825295,45.67031479
Antigua and Barbuda,ATG,"Population, total",97118,100
Argentina,ARG,"Population, total",44938712,100
Armenia,ARM,"Population, total",2957731,100
Aruba,ABW,"Population, total",106314,100
Australia,AUS,"Population, total",25365745,100
Austria,AUT,"Population, total",8879920,100
Azerbaijan,AZE,"Population, total",10024283,100
"Bahamas, The",BHS,"Population, total",389482,100
Bahrain,BHR,"Population, total",1641172,100
Bangladesh,BGD,"Population, total",163046161,92.2
Barbados,BRB,"Population, total",287025,100
Belarus,BLR,"Population, total",9417849,100
Belgium,BEL,"Population, total",11502704,100
Belize,BLZ,"Population, total",390353,92.72
Benin,BEN,"Population, total",11801151,40.31874084
Bermuda,BMU,"Population, total",64027,100
Bhutan,BTN,"Population, total",763092,100
Bolivia,BOL,"Population, total",11513100,96.30310059
Bosnia and Herzegovina,BIH,"Population, total",3301000,100
Botswana,BWA,"Population, total",2303697,70.18318176
Brazil,BRA,"Population, total",211049527,99.8
British Virgin Islands,VGB,"Population, total",30030,100
Brunei Darussalam,BRN,"Population, total",433285,100
Bulgaria,BGR,"Population, total",6975761,100
Burkina Faso,BFA,"Population, total",20321378,18.3791523
Burundi,BDI,"Population, total",11530580,11.0647974
Cabo Verde,CPV,"Population, total",549935,95.53353882
Cambodia,KHM,"Population, total",16486542,93
Cameroon,CMR,"Population, total",25876380,63.45231247
Canada,CAN,"Population, total",37593384,100
Cayman Islands,CYM,"Population, total",64948,100
Central African Republic,CAF,"Population, total",4745185,14.3
Chad,TCD,"Population, total",15946876,8.4
Channel Islands,CHI,"Population, total",172259,100
Chile,CHL,"Population, total",18952038,100
China,CHN,"Population, total",1397715000,100
Colombia,COL,"Population, total",50339443,99.7662735
Comoros,COM,"Population, total",850886,84.04824066
"Congo, Dem. Rep.",COD,"Population, total",86790567,19.1
"Congo, Rep.",COG,"Population, total",5380508,48.32972336
Costa Rica,CRI,"Population, total",5047561,99.71
Cote d'Ivoire,CIV,"Population, total",25716544,68.55010986
Croatia,HRV,"Population, total",4065253,100
Cuba,CUB,"Population, total",11333483,99.8
Curacao,CUW,"Population, total",157441,100
Cyprus,CYP,"Population, total",1198575,100
Czech Republic,CZE,"Population, total",10671870,100
Denmark,DNK,"Population, total",5814422,100
Djibouti,DJI,"Population, total",973560,61.27593613
Dominica,DMA,"Population, total",71808,100
Dominican Republic,DOM,"Population, total",10738958,100
Ecuador,ECU,"Population, total",17373662,100
"Egypt, Arab Rep.",EGY,"Population, total",100388073,100
El Salvador,SLV,"Population, total",6453553,100
Equatorial Guinea,GNQ,"Population, total",1355986,66.59217834
Eritrea,ERI,"Population, total",,50.38573074
Estonia,EST,"Population, total",1326898,100
Eswatini,SWZ,"Population, total",1148130,77.16963959
Ethiopia,ETH,"Population, total",112078730,48.2716217
Faroe Islands,FRO,"Population, total",48678,100
Fiji,FJI,"Population, total",889953,100
Finland,FIN,"Population, total",5521606,100
France,FRA,"Population, total",67055854,100
French Polynesia,PYF,"Population, total",279287,100
Gabon,GAB,"Population, total",2172579,90.68525696
"Gambia, The",GMB,"Population, total",2347706,59.92128754
Georgia,GEO,"Population, total",3720161,100
Germany,DEU,"Population, total",83092962,100
Ghana,GHA,"Population, total",30417856,83.5
Gibraltar,GIB,"Population, total",33701,100
Greece,GRC,"Population, total",10717169,100
Greenland,GRL,"Population, total",56225,100
Grenada,GRD,"Population, total",112003,95.42874146
Guam,GUM,"Population, total",167294,100
Guatemala,GTM,"Population, total",16604026,95.72457123
Guinea,GIN,"Population, total",12771246,42.41838837
Guinea-Bissau,GNB,"Population, total",1920922,31.0404129
Guyana,GUY,"Population, total",782766,92.02169037
Haiti,HTI,"Population, total",11263077,45.37134552
Honduras,HND,"Population, total",9746117,92.77952576
"Hong Kong SAR, China",HKG,"Population, total",7507400,100
Hungary,HUN,"Population, total",9771141,100
Iceland,ISL,"Population, total",360563,100
India,IND,"Population, total",1366417754,97.81528473
Indonesia,IDN,"Population, total",270625568,98.85
"Iran, Islamic Rep.",IRN,"Population, total",82913906,100
Iraq,IRQ,"Population, total",39309783,100
Ireland,IRL,"Population, total",4934040,100
Isle of Man,IMN,"Population, total",84584,100
Israel,ISR,"Population, total",9054000,100
Italy,ITA,"Population, total",60302093,100
Jamaica,JAM,"Population, total",2948279,99.3837738
Japan,JPN,"Population, total",126264931,100
Jordan,JOR,"Population, total",10101694,100
